"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Biomass_kg","Mean_Plot_Biomass_kg_m2"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,1.220043065,0.0970879422898683
"2","Telemark","nome_cappelen1","1CAB","B",1,0.52190198,0.0415316399632237
"3","Telemark","drangedal1","1DRB","B",1,0.68910408,0.0548371603183965
"4","Telemark","fritsoe1","1FRB","B",1,0.289245695,0.0230174410636504
"5","Telemark","furesdal","1FYB","B",1,0.88544125,0.0704611758774833
"6","Trøndelag","namdalseid_1kub","1KB","B",1,1.267837645,0.100891314119869
"7","Telemark","kviteseid1","1KVB","B",1,1.307781315,0.104069930382735
"8","Telemark","notodden1","1NOB","B",1,0.959177315,0.076328905491931
"9","Trøndelag","nsb_verdal","1NSB","B",1,0.74148997,0.0590058969892806
"10","Trøndelag","sub_namdalseid","1SB","B",1,0.47091627,0.0374743260764488
"11","Trøndelag","verdal_1vb","1VBB","B",1,1.15545592666667,0.0919482611269133
"12","Trøndelag","steinkjer_2bbb","2BBB","B",1,3.52418573,0.28044578965171
"13","Telemark","nome_cappelen2","2CAB","B",1,1.44051,0.114632143536653
"14","Telemark","fritsoe2","2FRB","B",1,0.777139325,0.0618427825224245
"15","Telemark","kviteseid2","2KVB","B",1,1.61879,0.128819215163865
"16","Trøndelag","verdal_2vb","2VBB","B",1,3.568058855,0.283937102008029
"17","Telemark","kviteseid3","3KVB","B",1,1.887543625,0.150205949110172
"18","Telemark","notodden3","3NOB","B",1,1.16744948,0.0929026777760314
"19","Telemark","drangedal4","4DRB","B",1,2.895665565,0.230429744105368
"20","Telemark","notodden4","4NOB","B",1,3.15931,0.251409901629828
"21","Telemark","notodden5","5NOB","B",1,4.237718255,0.337226903857005
"22","Telemark","notodden6","6NOB","B",1,0.90170066,0.0717550586141122
"23","Trøndelag","bratsberg","BRB","B",1,2.774182355,0.220762417418283
"24","Trøndelag","selbu_flub","FLB","B",1,0.53410191,0.0425024795456613
"25","Trøndelag","hi_tydal","HIB","B",1,2.425161095,0.192988188031702
"26","Trøndelag","selbu_kl","KLB","B",1,3.405353095,0.270989389021267
"27","Trøndelag","singsaas","LAB","B",1,2.078743005,0.165421112331725
"28","Trøndelag","malvik","MAB","B",1,1.736888655,0.138217207521742
"29","Trøndelag","sl_tydal","SEB","B",1,0.350323265,0.027877839652421
"30","Trøndelag","selbu_sl","SLB","B",1,0.52623502,0.0418764523305312
"31","Trøndelag","steinkjer_1bbb","1BBUB","UB",1,0.801828925,0.0638075184639053
"32","Telemark","nome_cappelen1","1CAUB","UB",1,1.4555784875,0.115831255671925
"33","Telemark","drangedal1","1DRUB","UB",1,0.5466352375,0.0434998500581686
"34","Telemark","fritsoe1","1FRUB","UB",1,1.7965821125,0.142967461937427
"35","Telemark","furesdal","1FYUB","UB",1,3.009599825,0.239496344438627
"36","Trøndelag","namdalseid_1kub","1KUB","UB",1,2.054533775,0.163494603020251
"37","Telemark","kviteseid1","1KVUB","UB",1,0.4385736,0.0349005781748038
"38","Telemark","notodden1","1NOUB","UB",1,1.1736628625,0.0933971230451293
"39","Trøndelag","nsb_verdal","1NSUB","UB",1,0.1622874,0.0129144209557658
"40","Trøndelag","sub_namdalseid","1SUB","UB",1,0.537168,0.0427464712353936
"41","Trøndelag","verdal_1vb","1VBUB","UB",1,1.383526525,0.110097542676251
"42","Trøndelag","steinkjer_2bbb","2BBUB","UB",1,1.83139335,0.145737652199063
"43","Telemark","nome_cappelen2","2CAUB","UB",1,1.5169230875,0.120712903832922
"44","Telemark","fritsoe2","2FRUB","UB",1,0.499813925,0.0397739283949559
"45","Telemark","kviteseid2","2KVUB","UB",1,0.452707125,0.0360252883583353
"46","Trøndelag","verdal_2vb","2VBUB","UB",1,1.1598807875,0.0923003803639726
"47","Telemark","drangedal3","3DRUB","UB",1,0.09849225,0.00783776422187136
"48","Telemark","kviteseid3","3KVUB","UB",1,4.386012625,0.349027794866105
"49","Telemark","notodden3","3NOUB","UB",1,0.7334367125,0.0583650391197221
"50","Telemark","drangedal4","4DRUB","UB",1,0.8517016,0.0677762598396381
"51","Telemark","notodden4","4NOUB","UB",1,2.213783625,0.176167303427322
"52","Telemark","notodden5","5NOUB","UB",1,14.4268496375,1.14805221652582
"53","Telemark","notodden6","6NOUB","UB",1,0.614450783333333,0.0488964397270936
"54","Trøndelag","bratsberg","BRUB","UB",1,1.8508881625,0.147289000086075
"55","Trøndelag","selbu_flub","FLUB","UB",1,0.78220565,0.0622459478559545
"56","Trøndelag","hi_tydal","HIUB","UB",1,1.1613544625,0.0924176516943531
"57","Trøndelag","selbu_kl","KLUB","UB",1,0.58269785,0.0463696215782599
"58","Trøndelag","singsaas","LAUB","UB",1,2.09265458333333,0.166528160560705
"59","Trøndelag","malvik","MAUB","UB",1,0.847754875,0.0674621894432509
"60","Trøndelag","sl_tydal","SEUB","UB",1,0.632474475,0.0503307195378507
"61","Trøndelag","selbu_sl","SLUB","UB",1,0.448397175,0.0356823134348458
"62","Trøndelag","steinkjer_1bbb","1BBB","B",2,1.468548185,0.116863351405691
"63","Telemark","nome_cappelen1","1CAB","B",2,0.751458265,0.0597991487010047
"64","Telemark","drangedal1","1DRB","B",2,1.383032605,0.110058237771505
"65","Telemark","fritsoe1","1FRB","B",2,0.50206948,0.0399534197587887
"66","Telemark","furesdal","1FYB","B",2,1.11032,0.0883564582068966
"67","Trøndelag","namdalseid_1kub","1KB","B",2,1.77288638,0.141081815458648
"68","Telemark","kviteseid1","1KVB","B",2,2.25823198,0.179704391132599
"69","Telemark","notodden1","1NOB","B",2,1.25249077,0.0996700486112371
"70","Trøndelag","nsb_verdal","1NSB","B",2,1.31094745,0.104321883400608
"71","Trøndelag","sub_namdalseid","1SB","B",2,0.6292995,0.0500780630551291
"72","Trøndelag","verdal_1vb","1VBB","B",2,1.11887426,0.0890371845886433
"73","Trøndelag","steinkjer_2bbb","2BBB","B",2,4.84042212,0.385188553524676
"74","Telemark","nome_cappelen2","2CAB","B",2,1.85031875,0.147243687679058
"75","Telemark","fritsoe2","2FRB","B",2,0.96453094,0.0767549334330362
"76","Telemark","kviteseid2","2KVB","B",2,1.688073195,0.134332596642589
"77","Trøndelag","verdal_2vb","2VBB","B",2,4.65807007,0.370677438454455
"78","Telemark","drangedal3","3DRB","B",2,0.07059,0.00561737371642845
"79","Telemark","kviteseid3","3KVB","B",2,2.410203975,0.191797938240492
"80","Telemark","notodden3","3NOB","B",2,1.720867675,0.136942298441654
"81","Telemark","drangedal4","4DRB","B",2,4.06206678,0.323249003603189
"82","Telemark","notodden4","4NOB","B",2,1.04556113,0.0832031110721239
"83","Telemark","notodden5","5NOB","B",2,4.41242744,0.351129819055159
"84","Telemark","notodden6","6NOB","B",2,1.16068099,0.0923640584556474
"85","Trøndelag","bratsberg","BRB","B",2,3.21875967,0.256140756052669
"86","Hedmark","nes 1","DDB","B",2,3.673127605,0.292298207471522
"87","Hedmark","fet_3","FKB","B",2,1.62035127,0.128943457082865
"88","Trøndelag","selbu_flub","FLB","B",2,1.08648566,0.0864597816937302
"89","Trøndelag","hi_tydal","HIB","B",2,3.573747605,0.284389798349286
