"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.42236875,0.0336110371850225
"2","Telemark","nome_cappelen1","1CAB","B",1,0.14489375,0.0115302782678107
"3","Telemark","drangedal1","1DRB","B",1,0.43993625,0.0350090144164059
"4","Telemark","fritsoe1","1FRB","B",1,0.261534375,0.0208122442848497
"5","Telemark","furesdal","1FYB","B",1,0.66651125,0.053039280031929
"6","Trøndelag","namdalseid_1kub","1KB","B",1,0.138011875,0.0109826360558154
"7","Telemark","kviteseid1","1KVB","B",1,0.0579575,0.00461211130712426
"8","Telemark","notodden1","1NOB","B",1,0.0579575,0.00461211130712426
"9","Trøndelag","nsb_verdal","1NSB","B",1,0.26080875,0.0207545008820592
"10","Trøndelag","sub_namdalseid","1SB","B",1,0.08693625,0.00691816696068639
"11","Trøndelag","verdal_1vb","1VBB","B",1,0.0579575,0.00461211130712426
"12","Trøndelag","steinkjer_2bbb","2BBB","B",1,2.3964225,0.190701243305819
"13","Telemark","nome_cappelen2","2CAB","B",1,0.2897875,0.0230605565356213
"14","Telemark","fritsoe2","2FRB","B",1,0.514735625,0.0409613595521231
"15","Telemark","kviteseid2","2KVB","B",1,0.893285,0.0710853616699219
"16","Trøndelag","verdal_2vb","2VBB","B",1,0.681550625,0.0542360754680603
"17","Telemark","kviteseid3","3KVB","B",1,0.826093125,0.0657384021489905
"18","Telemark","notodden3","3NOB","B",1,0.154553333333333,0.0122989634856647
"19","Telemark","drangedal4","4DRB","B",1,0.14489375,0.0115302782678107
"20","Telemark","notodden4","4NOB","B",1,2.4754,0.196986073064839
"21","Telemark","notodden5","5NOB","B",1,3.694790625,0.294022095829172
"22","Telemark","notodden6","6NOB","B",1,0.0579575,0.00461211130712426
"23","Trøndelag","bratsberg","BRB","B",1,2.59621875,0.206600523705181
"24","Trøndelag","selbu_kl","KLB","B",1,2.82804875,0.225048968933678
"25","Trøndelag","singsaas","LAB","B",1,1.414176875,0.11253662003125
"26","Trøndelag","sl_tydal","SEB","B",1,0.212510833333333,0.016911074792789
"27","Trøndelag","selbu_sl","SLB","B",1,0.3857825,0.0306995959166746
