"","Region","LocalityName","LocalityCode","Treatment","Subplot","Years_Since_Exclosure","Group","Volume_m3","Volume_m3ha"
"1","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,"Deciduous",0.000997296505263158,0.79362334270452
"2","Telemark","nome_cappelen1","1CAB","B","NH",1,"Deciduous",0.00035003772631579,0.27855117205903
"3","Telemark","drangedal1","1DRB","B","NH",1,"Deciduous",0.000520136842105263,0.413911747526306
"4","Telemark","fritsoe1","1FRB","B","NH",1,"Deciduous",0.000116679242105263,0.0928503906863431
"5","Telemark","furesdal","1FYB","B","NH",1,"Deciduous",0.0002536,0.201808467840523
"6","Trøndelag","namdalseid_1kub","1KB","B","NH",1,"Deciduous",0.0020682544,1.64586455665781
"7","Telemark","kviteseid1","1KVB","B","NH",1,"Deciduous",0.000761591242105263,0.606055053982745
"8","Trøndelag","nsb_verdal","1NSB","B","NH",1,"Deciduous",0.00196266172631579,1.56183657680215
"9","Trøndelag","sub_namdalseid","1SB","B","NH",1,"Deciduous",0.000307663747368421,0.244831031019301
"10","Trøndelag","verdal_1vb","1VBB","B","NH",1,"Deciduous",0.000132644884210526,0.105555444989787
"11","Trøndelag","steinkjer_2bbb","2BBB","B","NH",1,"Deciduous",0.00370418938947368,2.94770025741643
"12","Telemark","fritsoe2","2FRB","B","NH",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"13","Telemark","kviteseid2","2KVB","B","NH",1,"Deciduous",0.00260068421052631,2.06955873763153
"14","Telemark","kviteseid3","3KVB","B","NH",1,"Deciduous",0.00301152783157894,2.39649770327303
"15","Telemark","notodden3","3NOB","B","NH",1,"Deciduous",0.000307663747368421,0.244831031019301
"16","Telemark","drangedal4","4DRB","B","NH",1,"Deciduous",0.00373361027368421,2.97111265317763
"17","Telemark","notodden5","5NOB","B","NH",1,"Deciduous",0.000525056589473684,0.417826758088544
"18","Telemark","notodden6","6NOB","B","NH",1,"Deciduous",0.000132644884210526,0.105555444989787
"19","Trøndelag","bratsberg","BRB","B","NH",1,"Deciduous",0.00355871688421053,2.83193691593347
"20","Trøndelag","selbu_flub","FLB","B","NH",1,"Deciduous",0.000655810526315789,0.521877434974277
"21","Trøndelag","hi_tydal","HIB","B","NH",1,"Deciduous",0.0134611900631579,10.7120746922554
"22","Trøndelag","selbu_kl","KLB","B","NH",1,"Deciduous",0.0017139408,1.36391075243439
"23","Trøndelag","singsaas","LAB","B","NH",1,"Deciduous",0.000473069305263158,0.376456591788402
"24","Trøndelag","malvik","MAB","B","NH",1,"Deciduous",0.00207682458947368,1.65268449674767
"25","Trøndelag","sl_tydal","SEB","B","NH",1,"Deciduous",0.000572953515789474,0.455941920998875
"26","Trøndelag","steinkjer_1bbb","1BBUB","UB","NH",1,"Deciduous",0.00116303221052631,0.925511626401785
"27","Telemark","nome_cappelen1","1CAUB","UB","NH",1,"Deciduous",2.8401052631579e-05,0.0226008395766444
"28","Telemark","drangedal1","1DRUB","UB","NH",1,"Deciduous",0.000142005263157895,0.113004197883222
"29","Telemark","fritsoe1","1FRUB","UB","NH",1,"Deciduous",0.000989804,0.787660996460652
"30","Telemark","furesdal","1FYUB","UB","NH",1,"Deciduous",0.00059895747368421,0.476635213193379
"31","Trøndelag","namdalseid_1kub","1KUB","UB","NH",1,"Deciduous",7.06498947368421e-05,0.0562213998814525
"32","Telemark","kviteseid1","1KVUB","UB","NH",1,"Deciduous",0.000360356631578948,0.286762695958673
"33","Trøndelag","sub_namdalseid","1SUB","UB","NH",1,"Deciduous",0.00113604210526316,0.904033583065776
"34","Trøndelag","verdal_1vb","1VBUB","UB","NH",1,"Deciduous",0.000141299789473684,0.112442799762905
"35","Trøndelag","steinkjer_2bbb","2BBUB","UB","NH",1,"Deciduous",0.000255609473684211,0.2034075561898
"36","Telemark","nome_cappelen2","2CAUB","UB","NH",1,"Deciduous",0.00109350673684211,0.870185012363548
"37","Telemark","fritsoe2","2FRUB","UB","NH",1,"Deciduous",0.000454416842105263,0.36161343322631
"38","Telemark","kviteseid2","2KVUB","UB","NH",1,"Deciduous",2.8401052631579e-05,0.0226008395766444
"39","Trøndelag","verdal_2vb","2VBUB","UB","NH",1,"Deciduous",0.00190545831578947,1.51631554906726
"40","Telemark","kviteseid3","3KVUB","UB","NH",1,"Deciduous",0.000525066736842105,0.417834833107762
"41","Telemark","drangedal4","4DRUB","UB","NH",1,"Deciduous",0.000822219578947368,0.654301551482052
"42","Telemark","notodden5","5NOUB","UB","NH",1,"Deciduous",0.00114103284210526,0.908005085256234
"43","Telemark","notodden6","6NOUB","UB","NH",1,"Deciduous",0.000458702105263158,0.365023537296452
"44","Trøndelag","bratsberg","BRUB","UB","NH",1,"Deciduous",0.00349332947368421,2.77990326792725
"45","Trøndelag","selbu_flub","FLUB","UB","NH",1,"Deciduous",0.00104697263157895,0.833154347988596
"46","Trøndelag","hi_tydal","HIUB","UB","NH",1,"Deciduous",0.00128021621052632,1.01876369065819
"47","Trøndelag","selbu_kl","KLUB","UB","NH",1,"Deciduous",2.8401052631579e-05,0.0226008395766444
"48","Trøndelag","malvik","MAUB","UB","NH",1,"Deciduous",0.00129871578947368,1.03348518783115
"49","Trøndelag","sl_tydal","SEUB","UB","NH",1,"Deciduous",0.00120104821052632,0.955763797984693
"50","Trøndelag","selbu_sl","SLUB","UB","NH",1,"Deciduous",0.000525066736842105,0.417834833107762
"51","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,"Deciduous",0.00290282501052631,2.30999474678023
"52","Telemark","nome_cappelen1","1CAB","B","NV",1,"Deciduous",7.43052631578947e-05,0.0591302496466152
"53","Telemark","drangedal1","1DRB","B","NV",1,"Deciduous",7.43052631578947e-05,0.0591302496466152
"54","Telemark","fritsoe1","1FRB","B","NV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
